{'rearcamera': '3', 'price': '15299', 'talktime': '22', 'operatingsystem': 'windows', 'frontcamera': '20', 'model': 'lumia4004', 'thickness': '18', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '39548', 'talktime': '19', 'operatingsystem': 'blackberry', 'frontcamera': '9', 'model': 'N615', 'thickness': '26', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '27775', 'talktime': '30', 'operatingsystem': 'blackberry', 'frontcamera': '4', 'model': 'lumia294', 'thickness': '10', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '5', 'price': '12296', 'talktime': '7', 'operatingsystem': 'bada', 'frontcamera': '12', 'model': 'lumia1135', 'thickness': '18', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '4', 'price': '29784', 'talktime': '24', 'operatingsystem': 'android', 'frontcamera': '6', 'model': 'blackberry4470', 'thickness': '28', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '26216', 'talktime': '30', 'operatingsystem': 'symbian', 'frontcamera': '4', 'model': 'N2301', 'thickness': '26', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '23927', 'talktime': '17', 'operatingsystem': 'windows', 'frontcamera': '9', 'model': 'blackberry4556', 'thickness': '26', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '25232', 'talktime': '9', 'operatingsystem': 'symbian', 'frontcamera': '16', 'model': 'lumia489', 'thickness': '13', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '16780', 'talktime': '28', 'operatingsystem': 's40', 'frontcamera': '7', 'model': 'hero1435', 'thickness': '11', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '5', 'price': '20658', 'talktime': '21', 'operatingsystem': 's40', 'frontcamera': '15', 'model': 'hero4074', 'thickness': '30', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '1', 'price': '32658', 'talktime': '16', 'operatingsystem': 'windows', 'frontcamera': '5', 'model': 'lumia3694', 'thickness': '21', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '3', 'price': '16198', 'talktime': '5', 'operatingsystem': 'android', 'frontcamera': '20', 'model': 'N318', 'thickness': '17', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '9578', 'talktime': '18', 'operatingsystem': 'android', 'frontcamera': '11', 'model': 'N4100', 'thickness': '16', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '1', 'price': '24153', 'talktime': '26', 'operatingsystem': 'android', 'frontcamera': '11', 'model': 'lumia2271', 'thickness': '15', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '3', 'price': '24288', 'talktime': '10', 'operatingsystem': 'windows', 'frontcamera': '16', 'model': 'lumia1670', 'thickness': '20', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '13897', 'talktime': '15', 'operatingsystem': 's40', 'frontcamera': '2', 'model': 'N4348', 'thickness': '13', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '35739', 'talktime': '7', 'operatingsystem': 'symbian', 'frontcamera': '17', 'model': 'hero2245', 'thickness': '28', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '24580', 'talktime': '18', 'operatingsystem': 'android', 'frontcamera': '13', 'model': 'lumia3471', 'thickness': '18', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '5', 'price': '13961', 'talktime': '14', 'operatingsystem': 'bada', 'frontcamera': '3', 'model': 'hero1332', 'thickness': '24', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '27388', 'talktime': '7', 'operatingsystem': 's40', 'frontcamera': '9', 'model': 'hero2899', 'thickness': '12', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '17494', 'talktime': '17', 'operatingsystem': 'windows', 'frontcamera': '9', 'model': 'hero3233', 'thickness': '29', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '0', 'price': '19136', 'talktime': '22', 'operatingsystem': 's40', 'frontcamera': '0', 'model': 'blackberry1843', 'thickness': '18', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '3', 'price': '24112', 'talktime': '26', 'operatingsystem': 'blackberry', 'frontcamera': '3', 'model': 'blackberry263', 'thickness': '27', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '1', 'price': '4995', 'talktime': '25', 'operatingsystem': 'symbian', 'frontcamera': '11', 'model': 'hero322', 'thickness': '17', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '26148', 'talktime': '13', 'operatingsystem': 'windows', 'frontcamera': '13', 'model': 'N4256', 'thickness': '20', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '18253', 'talktime': '10', 'operatingsystem': 's40', 'frontcamera': '20', 'model': 'hero573', 'thickness': '13', 'type': 'basic', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '36261', 'talktime': '5', 'operatingsystem': 'blackberry', 'frontcamera': '7', 'model': 'hero2911', 'thickness': '11', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '1641', 'talktime': '15', 'operatingsystem': 's40', 'frontcamera': '15', 'model': 'N333', 'thickness': '26', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '1', 'price': '28058', 'talktime': '14', 'operatingsystem': 'symbian', 'frontcamera': '13', 'model': 'hero3334', 'thickness': '22', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '1', 'price': '8782', 'talktime': '17', 'operatingsystem': 'android', 'frontcamera': '2', 'model': 'hero1446', 'thickness': '18', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '14301', 'talktime': '14', 'operatingsystem': 'android', 'frontcamera': '10', 'model': 'lumia270', 'thickness': '24', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '3055', 'talktime': '11', 'operatingsystem': 's40', 'frontcamera': '19', 'model': 'lumia1991', 'thickness': '18', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '24321', 'talktime': '17', 'operatingsystem': 's40', 'frontcamera': '7', 'model': 'lumia4168', 'thickness': '21', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '25084', 'talktime': '14', 'operatingsystem': 's40', 'frontcamera': '6', 'model': 'N2023', 'thickness': '24', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '33869', 'talktime': '28', 'operatingsystem': 'windows', 'frontcamera': '4', 'model': 'N1694', 'thickness': '21', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '3038', 'talktime': '9', 'operatingsystem': 'android', 'frontcamera': '17', 'model': 'hero548', 'thickness': '23', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '5', 'price': '7036', 'talktime': '13', 'operatingsystem': 'android', 'frontcamera': '15', 'model': 'hero401', 'thickness': '14', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '22783', 'talktime': '26', 'operatingsystem': 'symbian', 'frontcamera': '19', 'model': 'lumia1671', 'thickness': '15', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '4', 'price': '17859', 'talktime': '19', 'operatingsystem': 'windows', 'frontcamera': '2', 'model': 'lumia962', 'thickness': '25', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '25984', 'talktime': '14', 'operatingsystem': 's40', 'frontcamera': '9', 'model': 'hero2129', 'thickness': '20', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '8328', 'talktime': '29', 'operatingsystem': 'android', 'frontcamera': '5', 'model': 'hero2674', 'thickness': '16', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '15967', 'talktime': '24', 'operatingsystem': 'android', 'frontcamera': '13', 'model': 'blackberry2647', 'thickness': '30', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '5', 'price': '25628', 'talktime': '22', 'operatingsystem': 'blackberry', 'frontcamera': '19', 'model': 'N2386', 'thickness': '29', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '4', 'price': '7273', 'talktime': '24', 'operatingsystem': 's40', 'frontcamera': '2', 'model': 'lumia4319', 'thickness': '24', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '0', 'price': '22658', 'talktime': '7', 'operatingsystem': 'android', 'frontcamera': '4', 'model': 'lumia1902', 'thickness': '22', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '2', 'price': '13690', 'talktime': '6', 'operatingsystem': 's40', 'frontcamera': '10', 'model': 'lumia482', 'thickness': '27', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '30007', 'talktime': '12', 'operatingsystem': 'symbian', 'frontcamera': '18', 'model': 'hero3187', 'thickness': '15', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '6111', 'talktime': '25', 'operatingsystem': 'android', 'frontcamera': '12', 'model': 'blackberry1080', 'thickness': '20', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '21890', 'talktime': '12', 'operatingsystem': 's40', 'frontcamera': '13', 'model': 'hero3708', 'thickness': '20', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '16485', 'talktime': '7', 'operatingsystem': 'windows', 'frontcamera': '13', 'model': 'hero2138', 'thickness': '11', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '25631', 'talktime': '21', 'operatingsystem': 'symbian', 'frontcamera': '7', 'model': 'hero4220', 'thickness': '16', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '1', 'price': '14738', 'talktime': '7', 'operatingsystem': 'bada', 'frontcamera': '15', 'model': 'N1678', 'thickness': '28', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '15200', 'talktime': '11', 'operatingsystem': 's40', 'frontcamera': '17', 'model': 'N3082', 'thickness': '22', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '0', 'price': '1930', 'talktime': '8', 'operatingsystem': 'bada', 'frontcamera': '6', 'model': 'N3601', 'thickness': '29', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '5490', 'talktime': '26', 'operatingsystem': 'blackberry', 'frontcamera': '8', 'model': 'hero4373', 'thickness': '26', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '4404', 'talktime': '9', 'operatingsystem': 's40', 'frontcamera': '1', 'model': 'blackberry2749', 'thickness': '20', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '14708', 'talktime': '18', 'operatingsystem': 'symbian', 'frontcamera': '14', 'model': 'lumia2701', 'thickness': '16', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '2', 'price': '13533', 'talktime': '29', 'operatingsystem': 'bada', 'frontcamera': '6', 'model': 'blackberry2341', 'thickness': '21', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '2', 'price': '24147', 'talktime': '25', 'operatingsystem': 'android', 'frontcamera': '9', 'model': 'hero2170', 'thickness': '14', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '3', 'price': '35254', 'talktime': '30', 'operatingsystem': 'windows', 'frontcamera': '10', 'model': 'lumia801', 'thickness': '27', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '18318', 'talktime': '21', 'operatingsystem': 'blackberry', 'frontcamera': '16', 'model': 'hero1211', 'thickness': '16', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '30825', 'talktime': '15', 'operatingsystem': 'symbian', 'frontcamera': '12', 'model': 'hero763', 'thickness': '15', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '4', 'price': '27146', 'talktime': '13', 'operatingsystem': 'windows', 'frontcamera': '0', 'model': 'hero769', 'thickness': '18', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '1942', 'talktime': '23', 'operatingsystem': 'bada', 'frontcamera': '4', 'model': 'blackberry3569', 'thickness': '16', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '35652', 'talktime': '13', 'operatingsystem': 's40', 'frontcamera': '3', 'model': 'hero757', 'thickness': '15', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '3', 'price': '31373', 'talktime': '6', 'operatingsystem': 'symbian', 'frontcamera': '19', 'model': 'hero372', 'thickness': '21', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '3', 'price': '22843', 'talktime': '27', 'operatingsystem': 's40', 'frontcamera': '20', 'model': 'hero2232', 'thickness': '15', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '0', 'price': '13384', 'talktime': '16', 'operatingsystem': 'android', 'frontcamera': '3', 'model': 'hero2821', 'thickness': '28', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '2065', 'talktime': '20', 'operatingsystem': 'symbian', 'frontcamera': '0', 'model': 'hero3652', 'thickness': '11', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '13117', 'talktime': '6', 'operatingsystem': 's40', 'frontcamera': '19', 'model': 'hero1889', 'thickness': '13', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '1', 'price': '27211', 'talktime': '20', 'operatingsystem': 'bada', 'frontcamera': '4', 'model': 'lumia146', 'thickness': '23', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '0', 'price': '30612', 'talktime': '18', 'operatingsystem': 'windows', 'frontcamera': '3', 'model': 'lumia350', 'thickness': '27', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '19983', 'talktime': '22', 'operatingsystem': 's40', 'frontcamera': '2', 'model': 'hero3371', 'thickness': '16', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '4', 'price': '25785', 'talktime': '10', 'operatingsystem': 'windows', 'frontcamera': '15', 'model': 'lumia2075', 'thickness': '14', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '1', 'price': '19785', 'talktime': '24', 'operatingsystem': 'blackberry', 'frontcamera': '9', 'model': 'lumia3675', 'thickness': '11', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '17915', 'talktime': '23', 'operatingsystem': 'blackberry', 'frontcamera': '4', 'model': 'hero1389', 'thickness': '12', 'type': 'basic', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '2548', 'talktime': '22', 'operatingsystem': 'bada', 'frontcamera': '7', 'model': 'N1234', 'thickness': '17', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '2', 'price': '34997', 'talktime': '13', 'operatingsystem': 'android', 'frontcamera': '6', 'model': 'N3128', 'thickness': '25', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '31262', 'talktime': '20', 'operatingsystem': 's40', 'frontcamera': '2', 'model': 'hero2586', 'thickness': '29', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '17838', 'talktime': '7', 'operatingsystem': 'windows', 'frontcamera': '11', 'model': 'hero3286', 'thickness': '16', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '5', 'price': '6377', 'talktime': '28', 'operatingsystem': 'blackberry', 'frontcamera': '8', 'model': 'blackberry2154', 'thickness': '18', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '5', 'price': '39318', 'talktime': '17', 'operatingsystem': 'symbian', 'frontcamera': '1', 'model': 'N282', 'thickness': '13', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '17297', 'talktime': '21', 'operatingsystem': 'symbian', 'frontcamera': '1', 'model': 'blackberry4339', 'thickness': '19', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '3', 'price': '31970', 'talktime': '8', 'operatingsystem': 'bada', 'frontcamera': '15', 'model': 'N3281', 'thickness': '28', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '4122', 'talktime': '20', 'operatingsystem': 's40', 'frontcamera': '16', 'model': 'blackberry1376', 'thickness': '26', 'type': 'basic', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '28500', 'talktime': '5', 'operatingsystem': 'blackberry', 'frontcamera': '17', 'model': 'blackberry117', 'thickness': '13', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '3', 'price': '28076', 'talktime': '19', 'operatingsystem': 'android', 'frontcamera': '7', 'model': 'N4018', 'thickness': '29', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '1', 'price': '11182', 'talktime': '29', 'operatingsystem': 'symbian', 'frontcamera': '7', 'model': 'N2756', 'thickness': '18', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '1', 'price': '1406', 'talktime': '22', 'operatingsystem': 'blackberry', 'frontcamera': '15', 'model': 'blackberry2356', 'thickness': '14', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '24080', 'talktime': '7', 'operatingsystem': 'windows', 'frontcamera': '15', 'model': 'blackberry3969', 'thickness': '26', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '1', 'price': '32951', 'talktime': '9', 'operatingsystem': 'windows', 'frontcamera': '3', 'model': 'hero1864', 'thickness': '29', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '33073', 'talktime': '25', 'operatingsystem': 'symbian', 'frontcamera': '18', 'model': 'hero3030', 'thickness': '17', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '3', 'price': '34856', 'talktime': '22', 'operatingsystem': 'android', 'frontcamera': '12', 'model': 'hero3044', 'thickness': '13', 'type': 'basic', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '14016', 'talktime': '8', 'operatingsystem': 's40', 'frontcamera': '0', 'model': 'hero4007', 'thickness': '26', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '36643', 'talktime': '8', 'operatingsystem': 'bada', 'frontcamera': '6', 'model': 'lumia4310', 'thickness': '12', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '21679', 'talktime': '18', 'operatingsystem': 's40', 'frontcamera': '1', 'model': 'hero1879', 'thickness': '28', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '1486', 'talktime': '10', 'operatingsystem': 'windows', 'frontcamera': '4', 'model': 'N2662', 'thickness': '16', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '2', 'price': '38490', 'talktime': '21', 'operatingsystem': 'android', 'frontcamera': '8', 'model': 'hero955', 'thickness': '13', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '4', 'price': '26980', 'talktime': '25', 'operatingsystem': 'windows', 'frontcamera': '14', 'model': 'hero3251', 'thickness': '13', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '4', 'price': '36283', 'talktime': '9', 'operatingsystem': 'android', 'frontcamera': '9', 'model': 'hero1312', 'thickness': '10', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '12839', 'talktime': '5', 'operatingsystem': 'blackberry', 'frontcamera': '19', 'model': 'N412', 'thickness': '15', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '0', 'price': '3857', 'talktime': '24', 'operatingsystem': 'android', 'frontcamera': '5', 'model': 'hero3166', 'thickness': '13', 'type': 'basic', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '1', 'price': '28450', 'talktime': '20', 'operatingsystem': 'blackberry', 'frontcamera': '7', 'model': 'N2947', 'thickness': '19', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '4', 'price': '30877', 'talktime': '11', 'operatingsystem': 'bada', 'frontcamera': '0', 'model': 'hero526', 'thickness': '23', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '2410', 'talktime': '9', 'operatingsystem': 'symbian', 'frontcamera': '5', 'model': 'blackberry2561', 'thickness': '26', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '14643', 'talktime': '30', 'operatingsystem': 'windows', 'frontcamera': '14', 'model': 'hero286', 'thickness': '21', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '0', 'price': '34349', 'talktime': '5', 'operatingsystem': 'android', 'frontcamera': '9', 'model': 'hero2090', 'thickness': '24', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '1', 'price': '26040', 'talktime': '13', 'operatingsystem': 'symbian', 'frontcamera': '11', 'model': 'hero2960', 'thickness': '20', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '0', 'price': '31487', 'talktime': '6', 'operatingsystem': 'blackberry', 'frontcamera': '4', 'model': 'blackberry1193', 'thickness': '28', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '2921', 'talktime': '7', 'operatingsystem': 'blackberry', 'frontcamera': '18', 'model': 'hero3539', 'thickness': '19', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '4', 'price': '19755', 'talktime': '19', 'operatingsystem': 's40', 'frontcamera': '5', 'model': 'hero3620', 'thickness': '17', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '5', 'price': '30805', 'talktime': '14', 'operatingsystem': 'bada', 'frontcamera': '10', 'model': 'hero3185', 'thickness': '23', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '22423', 'talktime': '21', 'operatingsystem': 'windows', 'frontcamera': '9', 'model': 'hero2102', 'thickness': '19', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '17945', 'talktime': '25', 'operatingsystem': 'android', 'frontcamera': '14', 'model': 'blackberry3759', 'thickness': '16', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '2', 'price': '39841', 'talktime': '17', 'operatingsystem': 'bada', 'frontcamera': '11', 'model': 'hero1688', 'thickness': '10', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '0', 'price': '6650', 'talktime': '7', 'operatingsystem': 'windows', 'frontcamera': '12', 'model': 'hero4276', 'thickness': '19', 'type': 'basic', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '0', 'price': '7354', 'talktime': '27', 'operatingsystem': 'blackberry', 'frontcamera': '20', 'model': 'N3564', 'thickness': '14', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '4', 'price': '22186', 'talktime': '15', 'operatingsystem': 'windows', 'frontcamera': '16', 'model': 'hero4571', 'thickness': '19', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '7646', 'talktime': '15', 'operatingsystem': 'bada', 'frontcamera': '4', 'model': 'hero1435', 'thickness': '20', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '3', 'price': '18769', 'talktime': '22', 'operatingsystem': 'blackberry', 'frontcamera': '19', 'model': 'hero534', 'thickness': '23', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '2', 'price': '37785', 'talktime': '13', 'operatingsystem': 'blackberry', 'frontcamera': '2', 'model': 'N3020', 'thickness': '12', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '33808', 'talktime': '30', 'operatingsystem': 'bada', 'frontcamera': '9', 'model': 'lumia4190', 'thickness': '12', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '34724', 'talktime': '17', 'operatingsystem': 'windows', 'frontcamera': '11', 'model': 'hero1870', 'thickness': '28', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '3785', 'talktime': '27', 'operatingsystem': 'windows', 'frontcamera': '8', 'model': 'hero243', 'thickness': '30', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '5', 'price': '34195', 'talktime': '9', 'operatingsystem': 'windows', 'frontcamera': '17', 'model': 'hero3067', 'thickness': '11', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '28390', 'talktime': '9', 'operatingsystem': 'bada', 'frontcamera': '20', 'model': 'N1993', 'thickness': '25', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '29155', 'talktime': '30', 'operatingsystem': 's40', 'frontcamera': '1', 'model': 'hero1416', 'thickness': '26', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '0', 'price': '24120', 'talktime': '6', 'operatingsystem': 'windows', 'frontcamera': '13', 'model': 'hero1093', 'thickness': '14', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '3', 'price': '1754', 'talktime': '15', 'operatingsystem': 'bada', 'frontcamera': '4', 'model': 'lumia2087', 'thickness': '24', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '2', 'price': '29113', 'talktime': '9', 'operatingsystem': 'android', 'frontcamera': '8', 'model': 'hero1471', 'thickness': '29', 'type': 'basic', 'company': 'Samsung', 'GPS': 'yes'}
