Loudspeaker	GPRS	WLAN	Dimensions	Price group	2G Network	Battery life	Multitouch	Camera	Audio quality	Stand-by	GPU	Java	Type	CPU	SIM	USB	Status	Company	Chipset	Protection	Announced	Video	Sensors	GPS	Secondary	Card slot	EDGE	Talk time	4G Network	jack	Messaging	Display	Browser	Alert types	Weight	Speed	Image	Primary	3G Network	Bluetooth	Colors	Internal	Radio	Music play	OS	Brand	Size	segment
Voice 66dB / Noise 62dB / Ring 75dB	Class 32	Wi-Fi 802.11 b/g/n	123.7 x 62.4 x 13.6 mm, 104.9 cc (4.87 x 2.46 x 0.54 in)	230	GSM 850 / 900 / 1800 / 1900 	No	Yes	Photo	Noise -88.3dB / Crosstalk -89.3dB	432	Broadcom BCM2727	Yes, MIDP 2.1	AMOLED capacitive touchscreen, 16M colors	680 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0, USB On-the-go	Available. Released 2011, February	Nokia	No	Corning Gorilla Glass	2010, September	Yes	Accelerometer, proximity, compass	Yes, with A-GPS support; Ovi Maps 3.0	Yes, VGA	No	Class 32	9	No	Yes	SMS (threaded view), MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration; MP3, WAV ringtones	176 g (6.21 oz)	HSDPA, 10.2 Mbps; HSUPA, 2 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-e7.jpg	8 MP	HSDPA 850 / 900 / 1700 / 1900 / 2100 	Yes, v3.0 with A2DP	Dark Grey, Silver White, Green, Blue, Orange	16 GB storage, 256 MB RAM, 1 GB ROM	Stereo FM radio with RDS	No	Symbian^3 OS, upgradable to Nokia Belle OS	E7	360 x 640 pixels, 4.0 inches (~184 ppi pixel density)	mid_range
Voice 75dB / Noise 66dB / Ring 77dB	Class 33	Wi-Fi 802.11 b/g/n	103.8 x 52.5 x 13.9 mm, 65 cc (4.09 x 2.07 x 0.55 in)	170	GSM 850 / 900 / 1800 / 1900 	No	Yes	Photo	Noise -88.2dB / Crosstalk -89.4dB	408	Broadcom BCM2727	Yes, MIDP 2.1	AMOLED capacitive touchscreen, 16M colors	680 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0, USB On-the-go	Available. Released 2010, November	Nokia	No	Corning Gorilla Glass	2010, September	Yes	Accelerometer, proximity, compass	Yes, with A-GPS support	Yes, VGA	microSD, up to 32 GB, 2 GB included	Class 33	11	No	Yes	SMS, MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration; MP3 ringtones	131 g (4.62 oz)	HSDPA, 10.2 Mbps; HSUPA, 2 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-c6-01-ofic.jpg	8 MP	HSDPA 900 / 1700 / 1900 / 2100 	Yes, v3.0 with A2DP	Silver Grey, Black	340 MB, 256 MB RAM, 1 GB ROM	Stereo FM radio with RDS	Up to 50 h	Symbian^3 OS, upgradable to Nokia Belle OS	C6-01	360 x 640 pixels, 3.2 inches (~229 ppi pixel density)	mid_range
Voice 66dB / Noise 65dB / Ring 75dB	Class 32	Wi-Fi 802.11 b/g/n	117.3 x 56.8 x 10.5 mm, 64 cc (4.62 x 2.24 x 0.41 in)	240	GSM 850 / 900 / 1800 / 1900 	No	Yes	Photo	Noise -88.1dB / Crosstalk - 88.9dB	552	Broadcom BCM2727	Yes, MIDP 2.1	AMOLED capacitive touchscreen, 16M colors	680 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0, USB On-the-go	Available. Released 2010, October	Nokia	No	Corning Gorilla Glass	2010, September	Yes, 720p@25fps, 720p@30fps (via software update), video stabilization	Accelerometer, proximity, compass	Yes, with A-GPS support; Ovi Maps 3.0	Yes, VGA	microSD, up to 32 GB	Class 32	9	No	Yes	SMS, MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration; MP3, WAV ringtones	130 g (4.59 oz)	HSDPA, 10.2 Mbps; HSUPA, 2 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-c7-ofic.jpg	8 MP	HSDPA 850 / 900 / 1700 / 1900 / 2100 	Yes, v3.0 with A2DP	Charcoal black, Frosty metal, Mahogany brown	8 GB storage, 256 MB RAM, 1 GB ROM	Stereo FM radio with RDS, FM transmitter	Up to 54 h	Symbian^3 OS, upgradable to Nokia Belle OS	C7	360 x 640 pixels, 3.5 inches (~210 ppi pixel density)	mid_range
Voice 73dB / Noise 66dB / Ring 77dB	Class 32	Wi-Fi 802.11 b/g/n	111 x 47.5 x 11 mm, 51.4 cc (4.37 x 1.87 x 0.43 in)	110	GSM 850 / 900 / 1800 / 1900 	No	No	Photo	Noise -88.4dB / Crosstalk -88.1dB	405	No	Yes, MIDP 2.1	TFT resistive touchscreen, 256K colors	680 MHz (RM-640)/ 1 GHz (RM-776)	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, October	Nokia	No	No	2010, September	Yes, VGA@15fps	No	No	No	microSD, up to 32 GB	Class 32	5	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	100 g (3.53 oz)	HSDPA, 10.2 Mbps; HSUPA, 2 Mbps	http://cdn2.gsmarena.com/vv/thumb/Nokia-C3-Touch-and-Type.jpg	5 MP	HSDPA 850 / 900 / 1900 / 2100 	Yes, v2.1 with A2DP	Silver, Warm grey, Golden khaki	30 MB, 64 MB RAM, 128 MB ROM	Stereo FM radio with RDS	Up to 20 h	No	C3-01 Touch and Type	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)	mid_range
Voice 76dB / Noise 72dB / Ring 83dB	Class 32	No	104 x 49 x 14 mm, 69 cc (4.09 x 1.93 x 0.55 in)	90	GSM 850 / 900 / 1800 / 1900 	No	No	No	Noise -85.8dB / Crosstalk -82.2dB	450	No	Yes, MIDP 2.1	TFT resistive touchscreen, 16M colors	434 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, September	Nokia	No	No	2010, August	Yes, VGA@30fps	No	No	No	microSD, up to 16 GB	Class 32	7	No	Yes	SMS, MMS, Push Email	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	107g (3.77 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-5250.jpg	2 MP, 1600x1200 pixels	No	Yes, v2.0 with A2DP	Dark Grey, Blue, Red, Purple, White	51MB	Stereo FM radio	Up to 24h	Symbian OS, S60 rel. 5	5250	360 x 640 pixels, 2.8 inches (~262 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	Wi-Fi 802.11 b/g/n	-	No	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	No	No	Yes, MIDP 2.1	TFT resistive touchscreen, 256K colors	No	Mini-SIM	Yes, microUSB v2.0	Discontinued	Nokia	No	No	Not officially announced yet	Yes	No	No	No	microSD, up to 32 GB	Class 10, 236.8 kbps	No	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	-	HSDPA	http://cdn2.gsmarena.com/vv/thumb/nokia-x3-02-touch-and-type.jpg	Yes	 HSDPA	Yes, v2.1 with A2DP	Various	No	Stereo FM radio with RDS	No	No	X3 Touch and Type S	240 x 320 pixels
Voice 75dB / Noise 66dB / Ring 75dB	Class 10 (4+1/3+2 slots), 32 - 48 kbps	Wi-Fi 802.11 b/g/n	106.2 x 48.4 x 9.6 mm, 45.3 cc (4.18 x 1.91 x 0.38 in)	100	GSM 850 / 900 / 1800 / 1900 	No	No	Photo	Noise -63.2dB / Crosstalk -61.0dB	408	No	Yes, MIDP 2.1	TFT resistive touchscreen, 256K colors	1 GHz (RM-775) / 680 MHz (RM-639)	Mini-SIM	Yes, microUSB v2.0, USB On-the-go	Available. Released 2010, September	Nokia	No	No	2010, August	Yes, VGA@30fps (RM-775 model)	No	No	No	microSD, up to 32 GB	Class 10, 236.8 kbps	5	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	77.4 g (2.72 oz)	HSDPA, 10.2 Mbps; HSUPA, 2 Mbps	http://cdn2.gsmarena.com/vv/thumb/Nokia-X3-02.jpg	5 MP	HSDPA 850 / 900 / 1900 / 2100 	Yes, v2.1 with A2DP, EDR	White Silver, Dark Metal, Petrol Blue, Pink, Lilac	256 MB ROM, 128 MB RAM (RM-775), 128 MB ROM, 64 MB RAM (RM-639)	Stereo FM radio with RDS	Up to 28 h	No	X3-02 Touch and Type	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)	mid_range
Yes, with stereo speakers	Class 32	Wi-Fi 802.11 b/g, UPnP	111 x 51 x 13.8 mm (4.37 x 2.01 x 0.54 in)	180	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	420	No	Yes, MIDP 2.0	TFT capacitive touchscreen, 16M colors	434 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, July	Nokia	No	Corning Gorilla Glass	2010, June	Yes, VGA@30fps	Accelerometer, proximity	Yes, with A-GPS support; Ovi Maps 3.0	Yes, QCIF@15fps	No	Class 32	11	No	Yes	SMS, MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration; MP3 ringtones	122 g (4.30 oz)	HSDPA, 3.6 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-x6-8gb.jpg	5 MP, 2592x1944 pixels, Carl Zeiss optics, autofocus, Dual LED flash, video light	HSDPA 900 / 1900 / 2100 	Yes, v2.1 with A2DP	Azure, Black,  Amethyst	8 GB storage, 128 MB RAM	Stereo FM radio with RDS	Up to 35 h	Symbian OS v9.4, Series 60 rel. 5	X6 8GB	360 x 640 pixels, 3.2 inches (~229 ppi pixel density)	mid_range
Voice 77dB / Noise 66dB / Ring 82dB	Class 32	Wi-Fi 802.11 b/g	74.3 x 66.4 x 16.9 mm, 76 cc (2.93 x 2.61 x 0.67 in)	190	GSM 850 / 900 / 1800 / 1900 	No	No	Photo	Noise -90.1dB / Crosstalk -91.6dB	384	No	Yes, MIDP 2.0	TFT, 256K colors	600 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, September	Nokia	No	No	2010, June	Yes, VGA@15fps	Accelerometer	No	No	microSD, up to 32 GB, 2 GB included	Class 32	5	No	Yes	SMS, MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, Polyphonic(64), WAV, MP3 ringtones	129 g (4.55 oz)	HSDPA	http://cdn2.gsmarena.com/vv/thumb/nokia-x5-ofic.jpg	5 MP	HSDPA 850 / 1900 / 2100 	Yes, v2.1 with A2DP	Pink, Azure, Graphite Black, Yellow Green, Purple	200 MB	Stereo FM radio with RDS	Up to 24 h	Symbian OS 9.3, Series 60 v3.2 UI	X5-01	320 x 240 pixels, 2.36 inches (~169 ppi pixel density)	mid_range
Yes	Class 32	No	111 x 51.7 x 14.5 mm, 83 cc (4.37 x 2.04 x 0.57 in)	120	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	432	No	Yes, MIDP 2.1	TFT resistive touchscreen, 16M colors	434 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, January	Nokia	No	No	2010, January	Yes, 640x360@30 fps	Accelerometer, proximity	No	No	microSD, up to 16 GB	Class 32	7	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	113 g (3.99 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-5228.jpg	2 MP, 1600x1200 pixels	No	Yes, v2.0 with A2DP	Black, White; various back covers	70 MB storage, 128 MB RAM	Stereo FM radio with RDS	Up to 33 h	Symbian OS v9.4, Series 60 rel. 5	5233	360 x 640 pixels, 3.2 inches (~229 ppi pixel density)	mid_range
Yes	Class 32	Wi-Fi 802.11 b/g	113.8 x 58.4 x 10.2 mm (4.48 x 2.30 x 0.40 in)	150	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	384	No	Yes, MIDP 2.0	TFT, 16M colors	No	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, June	Nokia	No	No	2010, June	Yes	Accelerometer, compass	Yes, with A-GPS support	VGA videocall camera	microSD, up to 16 GB, 4 GB included	Class 32	13	No	Yes	SMS, MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, Polyphonic(64), WAV, MP3 ringtones	127.6 g (4.48 oz)	HSDPA, 10.2 Mbps; HSUPA, 2.0 Mbps	http://cdn2.gsmarena.com/vv/thumb/Nokia-E73-Mode-ofic.jpg	5 MP, 2592 x 1944 pixels, autofocus, LED flash	HSDPA 900 / 1700 / 2100 	Yes, v2.0 with A2DP	Titanium	250 MB	Stereo FM radio with RDS	No	Symbian OS 9.3, Series 60 v3.2 UI	E73 Mode	320 x 240 pixels, 2.4 inches (~167 ppi pixel density)	mid_range
Voice 73dB / Noise 68dB / Ring 73dB	Class 12 (4+1/3+2/2+3/1+4 slots), 32 - 48 kbps	No	108 x 45 x 14.7 mm, 67.9 cc (4.25 x 1.77 x 0.58 in)	50	GSM 900 / 1800 - SIM 1	No	No	No	Noise -83.2dB / Crosstalk -81.3dB	460	No	Yes, MIDP 2.0	TFT, 65K colors	No	Dual SIM (Mini-SIM, dual stand-by)	Yes, microUSB	Available. Released 2011, July	Nokia	No	No	2010, June	Yes, QCIF@10fps	No	No	No	microSD, up to 32 GB	Class 6 (Up to 177.6 kbps), 177.6 kbps	5	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML	Vibration; MP3 ringtones	74.1 g (2.61 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-c2-00.jpg	VGA, 640x480 pixels	No	Yes, v2.1 with EDR	Dynamic Gray, Jet Black, Magenta, Dark Blue, Snow White	64 MB ROM, 16 MB RAM	Stereo FM radio; FM recording (selected markets)	No	No	C2-00	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	108 x 45 x 13.8 mm, 61 cc (4.25 x 1.77 x 0.54 in)	40	GSM 900 / 1800 	No	No	No	No	504	No	Yes, MIDP 2.1	TFT, 65K colors	No	Mini-SIM	Yes, microUSB	Available. Released 2011, January	Nokia	No	No	2010, June	No	No	No	No	microSD, up to 32 GB	No	10	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML	Vibration; Polyphonic(24), MP3 ringtones	77.5 g (2.72 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-c1-02.jpg	No	No	Yes, v2.1 with A2DP	Black, Dark Plum, Blue and Cool Grey	10 MB, 64 MB ROM, 16 MB RAM	Stereo FM radio with RDS; FM recording	No	No	C1-02	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Yes	Class 10 (4+1/3+2 slots), 32 - 48 kbps	No	108 x 45 x 14 mm, 57 cc (4.25 x 1.77 x 0.55 in)	50	GSM 900 / 1800 	No	No	No	No	504	No	Yes, MIDP 2.0	TFT, 65K colors	No	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, December	Nokia	No	No	2010, June	Yes, 128x96@10fps	No	No	No	microSD, up to 32 GB	No	10	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML (Opera Mini)	Vibration; Polyphonic(64), MP3 ringtones	78.8 g (2.75 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-c1-01.jpg	600x480 pixels	No	Yes, v2.1 with A2DP, EDR	Dark Grey, Warm Grey, Red and Midnight Blue	10 MB storage, 16 MB RAM, 64 MB ROM	Stereo FM radio with RDS; FM recording (in some regions)	No	No	C1-01	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Yes	No	No	107.1 x 45 x 15 mm, 63 cc (4.22 x 1.77 x 0.59 in)	30	GSM 900 / 1800 - SIM 1 & SIM 2	No	No	No	No	1152	No	No	TFT, 65K colors	No	Dual SIM (Mini-SIM, no dual stand-by)	No	Available. Released 2010, September	Nokia	No	No	2010, June	No	No	No	No	No	No	13	No	Yes	SMS	No	No	Vibration; MP3 ringtones	72.9 g (2.54 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-c1-00.jpg	No	No	No	Medium Blue, Red, Light Gray, Sea Green	No	FM radio	No	No	C1-00	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
Voice 75dB / Noise 66dB / Ring 82dB	Class 33	Wi-Fi 802.11 b/g/n, UPnP technology	113.5 x 59.1 x 12.9 mm, 86 cc (4.47 x 2.33 x 0.51 in)	210	GSM 850 / 900 / 1800 / 1900 	No	Yes	Photo	Noise -89.9dB / Crosstalk -90.9dB	390	Broadcom BCM2727	Yes, MIDP 2.1	AMOLED capacitive touchscreen, 16M colors	680 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0, USB On-the-go	Available. Released 2010, October	Nokia	No	Corning Gorilla Glass	2010, April	Yes	Accelerometer, proximity, compass	Yes, with A-GPS support; Ovi Maps 3.0	VGA videocall camera	microSD, up to 32 GB	Class 33	12	No	Yes	SMS (threaded view), MMS, Email, Push Email, IM	Contrast ratio: 2.144:1 (sunlight)	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration; MP3, WAV ringtones	135 g (4.76 oz)	HSDPA, 10.2 Mbps; HSUPA, 2.0 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-n8-silver.jpg	12 MP	HSDPA 850 / 900 / 1700 / 1900 / 2100 	Yes, v3.0 with A2DP	Dark Grey, Silver White, Green, Blue, Orange, Pink, Bronze	16 GB storage, 256 MB RAM, 512 MB ROM	Stereo FM radio with RDS; FM transmitter	Up to 50 h	Symbian^3 OS, upgradable to Nokia Belle Refresh	N8	360 x 640 pixels, 3.5 inches (~210 ppi pixel density)	mid_range
Voice 80dB / Noise 75dB / Ring 84dB	Class 32	No	111 x 47 x 13.3 mm, 61 cc (4.37 x 1.85 x 0.52 in)	40	GSM 850 / 900 / 1800 / 1900 	No	No	Photo	Noise -85.7dB / Crosstalk -85.6dB	624	No	Yes, MIDP 2.1	TFT, 256K colors	No	Mini-SIM	Yes, microUSB v2.0, USB On-the-go	Available. Released 2010, July	Nokia	No	No	2010, April	Yes, QVGA@18fps	No	No	No	microSD, up to 16 GB, 2 GB included	Class 32	13	No	Yes	SMS, MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	81 g (2.86 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-x2.jpg	5 MP	No	Yes, v2.1 with A2DP	Red on Black, Blue on SIlver	48 MB, 128 MB ROM, 64 MB RAM	Stereo FM radio with RDS; built-in antenna	Up to 27 h	No	X2	240 x 320 pixels, 2.2 inches (~182 ppi pixel density)	low_end
Voice 68dB / Noise 61dB / Ring 77dB	Class 32	Wi-Fi 802.11 b/g	113 x 53 x 16.8 mm, 80 cc (4.45 x 2.09 x 0.66 in)	140	GSM 850 / 900 / 1800 / 1900 	No	No	Photo	Noise -90.5dB / Crosstalk -90.4dB	384	No	Yes, MIDP 2.1	TFT resistive touchscreen, 16M colors	434 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, July	Nokia	No	No	2010, April	Yes, VGA@30fps	Accelerometer, proximity	Yes, with A-GPS support	Yes, QVGA	microSD, up to 16 GB, 2 GB included	Class 32	7	No	Yes	SMS, MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration; MP3 ringtones	150 g (5.29 oz)	HSDPA 3.6 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-c6-ofic-new.jpg	5 MP	HSDPA 900 / 1900 / 2100 	Yes, v2.0 with A2DP	White, Black	240 MB	Stereo FM radio with RDS	Up to 30 h	Symbian OS v9.4, Series 60 rel. 5	C6	360 x 640 pixels, 3.2 inches (~229 ppi pixel density)	mid_range
Voice 75dB / Noise 66dB / Ring 75dB	Class 32	Wi-Fi 802.11 b/g, UPnP & DLNA technology	115 x 58.9 x 12.8 mm, 75 cc (4.53 x 2.32 x 0.50 in)	100	GSM 850 / 900 / 1800 / 1900 	No	No	Photo	Noise -90.0dB / Crosstalk -91.5dB	635	No	Yes, MIDP 2.0	TFT, 256K colors	600 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, August	Nokia	No	No	2010, April	Yes, VGA@15fps	No	Yes, with A-GPS support; Ovi Maps	No	microSD, up to 32 GB, 2 GB included	Class 32	13	No	Yes	SMS, MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	126 g (4.44 oz)	HSDPA 10.2 Mbps; HSUPA 2.0 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-e5-ofic.jpg	5 MP	HSDPA 900 / 1900 / 2100 	Yes, v2.0 with A2DP	Carbon Black, Chalk White, Sky Blue, Copper Brown, Silver Grey	250 MB; 256 MB RAM	Stereo FM radio with RDS	Up to 38 h	Symbian OS v9.3, Series 60 rel. 3.2	E5	320 x 240 pixels, 2.36 inches (~169 ppi pixel density)	mid_range
Voice 75dB / Noise 66dB / Ring 77dB	Class 32	Wi-Fi 802.11 b/g	115.5 x 58.1 x 13.6 mm, 63.2 cc (4.55 x 2.29 x 0.54 in)	90	GSM 850 / 900 / 1800 / 1900 	No	No	No	Noise -89.2dB / Crosstalk -70.3dB	800	No	Yes, MIDP 2.0	TFT, 256K colors	No	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, June	Nokia	No	No	2010, April	Yes, QCIF@15fps	No	No	No	microSD, up to 8 GB, 2 GB included	Class 32	7	No	Yes	SMS, MMS, Email, Push Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	114 g (4.02 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-c3-ofic.jpg	2 MP, 1600x1200 pixels	No	Yes, v2.1 with A2DP, EDR	Slate Grey, Golden White, Hot Pink, Black	55 MB, 64 MB RAM, 128 MB ROM	Stereo FM radio with RDS	No	No	C3	320 x 240 pixels, 2.4 inches (~167 ppi pixel density)	low_end
Voice 67dB / Noise 64dB / Ring 75dB	Class 32	No	112 x 46 x 12.3 mm, 56 cc (4.41 x 1.81 x 0.48 in)	130	GSM 850 / 900 / 1800 / 1900 	No	No	Photo	Noise -87.6dB / Crosstalk -87.8dB	630	No	Yes, MIDP 2.0	TFT, 16M colors	600 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, April	Nokia	No	No	2010, March	Yes, VGA@15fps	No	Yes, with A-GPS; Ovi Maps 3.0	VGA videocall camera	microSD, up to 16 GB, 2 GB included	Class 32	12	No	Yes	SMS, AMS, MMS, Email, Push Email, IM, RSS	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3	89.3 g (3.14 oz)	HSDPA, 10.2 Mbps; HSUPA, 2 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-c5.jpg	3.15 MP	HSDPA 900 / 2100 	Yes, v2.0 with A2DP	White, Warm Grey	50 MB storage, 128 MB RAM	Stereo FM radio with RDS	Up to 34 h	Symbian OS v9.3, Series 60 rel. 3.2	C5	240 x 320 pixels, 2.2 inches (~182 ppi pixel density)	mid_range
Yes, with stereo speakers	Yes	No	112 x 48 x 14.6 mm, 56 cc (4.41 x 1.89 x 0.57 in)	No	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	190	No	Yes, MIDP 2.0	TFT, 16M colors	600 MHz ARM 11	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, Q3	Nokia	No	No	2010, April	Yes, VGA@30fps	No	Yes, with A-GPS; Ovi Maps 3.0	VGA videocall camera	microSD, up to 8 GB	Yes	4	No	Yes	SMS, MMS, Email, Push Email, IM, RSS	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3	122 g (4.30 oz)	TD-SCDMA	http://cdn2.gsmarena.com/vv/thumb/nokia-c5-china.jpg	5 MP, 2592&#1093;1944 pixels, autofocus	 TD-SCDMA	Yes, v2.0 with A2DP	White, Black	256 MB	No	No	Symbian OS v9.3, Series 60 rel. 3.2	C5 TD-SCDMA	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)
Yes, with stereo speakers	Yes	No	113 x 49.8 x 14.7 mm (4.45 x 1.96 x 0.58 in)	No	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	165	No	Yes, MIDP 2.1	TFT, 16M colors	No	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, July	Nokia	No	Scratch-resistant glass	2010, April	Yes, VGA@30fps	Accelerometer	Yes, with A-GPS support	VGA videocall camera	microSD, up to 8 GB	Yes	7	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	120 g (4.23 oz)	TD-SCDMA	http://cdn2.gsmarena.com/vv/thumb/nokia-x5.jpg	5 MP, 2592 x 1944 pixels, autofocus, dual-LED flash	 TD-SCDMA	Yes, v2.0 with A2DP	Various	256 MB	No	No	Symbian OS v9.3, Series 60 rel. 3.2	X5 TD-SCDMA	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)
Voice 70dB / Noise 66dB / Ring 75dB	Class 32	No	108.8 x 46.2 x 11.7 mm, 57 cc (4.28 x 1.82 x 0.46 in)	100	GSM 900 / 1800 / 1900 	No	No	Photo	Noise -84.5dB / Crosstalk -91.6dB	515	No	Yes, MIDP 2.1	TFT, 16M colors	No	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, March	Nokia	No	No	2010, February	Yes, QVGA@8fps	No	No	No	microSD, up to 16 GB, 2 GB included	Class 32	No	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	96 g (3.39 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-6303i-classic.jpg	3.15 MP	No	Yes, v2.1 with A2DP	Steel, Matt Black, Chestnut, Illuvial pink, White on Silver, Khaki on Gold	55 MB	Stereo FM radio with RDS	Up to 30 h	No	6303i classic	240 x 320 pixels, 2.2 inches (~182 ppi pixel density)	mid_range
Yes	Class 32	No	107.5 x 46.7 x 14.8 mm, 65 cc (4.23 x 1.84 x 0.58 in)	140	GSM 850 / 900 / 1800 / 1900 	No	No	No	No	288	No	Yes, MIDP 2.1	TFT, 256K colors	No	Mini-SIM	Yes, microUSB v2.0	Available. Released 2010, April	Nokia	No	No	2010, February	Yes, QCIF@15fps	No	No	No	microSD, up to 16 GB, 1 GB included	Class 32	6	No	Yes	SMS, MMS, Email	No	WAP 2.0/xHTML, HTML, Adobe Flash Lite	Vibration, MP3 ringtones	88 g (3.10 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-5132.jpg	2 MP, 1600x1200 pixels	No	Yes, v2.0 with A2DP	Gray, Yellow	30 MB	Stereo FM radio with RDS	Up to 20 h	No	5132 XpressMusic	240 x 320 pixels, 2.0 inches (~200 ppi pixel density)	mid_range
